Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4327986,05/17/2015,0035,20,Olympic,2002,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
4334775,05/23/2015,0125,20,Olympic,2071,25,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,CABRIDGE,WESTERN
4337774,05/26/2015,2300,06,Hollywood,0659,46,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FERNWOOD,WESTERN
4337832,05/26/2015,2300,06,Hollywood,0659,26,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FERNANDO                     BL,WESTERN                      AV
4337843,05/26/2015,2340,20,Olympic,2002,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4339915,05/29/2015,0100,06,Hollywood,0657,21,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,LEMON GROVE,WESTERN
4341783,05/31/2015,0100,20,Olympic,2073,29,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CAMBRIDGE,WESTERN
4341801,05/31/2015,0120,20,Olympic,2073,22,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
4342442,06/01/2015,0155,20,Olympic,2081,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,18TH,WESTERN
4342449,06/01/2015,0210,20,Olympic,2081,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,18TH                         ST,WESTERN                      AV
4344490,06/02/2015,0025,20,Olympic,2073,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST,WESTERN
4347129,06/04/2015,2240,06,Hollywood,0678,26,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMON GROVE,WESTERN
4347274,06/05/2015,0130,06,Hollywood,0678,42,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4348990,06/07/2015,0125,20,Olympic,2002,18,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
4349063,06/07/2015,0215,20,Olympic,2002,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4349102,06/07/2015,0200,20,Olympic,2081,31,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,WASHINGTON,WESTERN
4349158,06/07/2015,0250,06,Hollywood,0678,26,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,LEMON GROVE,WESTERN
